players_sabun_x,players_sabun_y,player1_ball_sabun_x,player1_ball_sabun_y,player2_ball_sabun_x,player2_ball_sabun_y
3,0.0,3.5999999999999996,0.5,0.5999999999999996,0.5
3,0.0,3.5999999999999996,0.5,0.5999999999999996,0.5
3,0.0,3.5999999999999996,1.5,0.5999999999999996,1.5
3,0.0,3.5999999999999996,2.5,0.5999999999999996,2.5
3,0.0,3.5999999999999996,3.5,0.5999999999999996,3.5
3,0.0,3.5999999999999996,4.5,0.5999999999999996,4.5
3,0.0,3.2,4.5,0.20000000000000018,4.5
3,0.0,3.2,3.5,0.20000000000000018,3.5
3,0.0,3.2,2.5,0.20000000000000018,2.5
3,0.0,3.2,1.5,0.20000000000000018,1.5
3,0.0,3.2,0.5,0.20000000000000018,0.5
3,0.0,3.2,0.5,0.20000000000000018,0.5
3,0.0,3.2,1.5,0.20000000000000018,1.5
3,0.0,3.2,2.5,0.20000000000000018,2.5
3,0.0,3.2,3.5,0.20000000000000018,3.5
3,0.0,3.2,4.5,0.20000000000000018,4.5
3,0.0,2.8,4.5,0.20000000000000018,4.5
3,0.0,2.8,3.5,0.20000000000000018,3.5
3,0.0,2.8,2.5,0.20000000000000018,2.5
3,0.0,2.8,1.5,0.20000000000000018,1.5
3,0.0,2.8,0.5,0.20000000000000018,0.5
3,0.0,2.8,0.5,0.20000000000000018,0.5
3,0.0,2.8,1.5,0.20000000000000018,1.5
3,0.0,2.8,2.5,0.20000000000000018,2.5
3,0.0,2.8,3.5,0.20000000000000018,3.5
3,0.0,2.8,4.5,0.20000000000000018,4.5
3,0.0,2.4000000000000004,4.5,0.5999999999999996,4.5
3,0.0,2.4000000000000004,3.5,0.5999999999999996,3.5
3,0.0,2.4000000000000004,2.5,0.5999999999999996,2.5
3,0.0,2.4000000000000004,1.5,0.5999999999999996,1.5
3,0.0,2.4000000000000004,0.5,0.5999999999999996,0.5
3,0.0,2.4000000000000004,0.5,0.5999999999999996,0.5
3,0.0,2.4000000000000004,1.5,0.5999999999999996,1.5
3,0.0,2.4000000000000004,2.5,0.5999999999999996,2.5
3,0.0,2.4000000000000004,3.5,0.5999999999999996,3.5
3,0.0,2.4000000000000004,4.5,0.5999999999999996,4.5
3,0.0,0.6000000000000001,4.5,2.4,4.5
3,0.0,0.6000000000000001,3.5,2.4,3.5
3,0.0,0.6000000000000001,2.5,2.4,2.5
3,0.0,0.6000000000000001,1.5,2.4,1.5
3,0.0,0.6000000000000001,0.5,2.4,0.5
3,0.0,0.6000000000000001,0.5,2.4,0.5
3,0.0,0.6000000000000001,1.5,2.4,1.5
3,0.0,0.6000000000000001,2.5,2.4,2.5
3,0.0,0.6000000000000001,3.5,2.4,3.5
3,0.0,0.6000000000000001,4.5,2.4,4.5
3,0.0,0.7999999999999998,4.5,2.2,4.5
3,0.0,0.7999999999999998,3.5,2.2,3.5
3,0.0,0.7999999999999998,2.5,2.2,2.5
3,0.0,0.7999999999999998,1.5,2.2,1.5
3,0.0,0.7999999999999998,0.5,2.2,0.5
3,0.0,0.7999999999999998,0.5,2.2,0.5
3,0.0,0.7999999999999998,1.5,2.2,1.5
3,0.0,0.7999999999999998,2.5,2.2,2.5
3,0.0,0.7999999999999998,3.5,2.2,3.5
3,0.0,0.7999999999999998,4.5,2.2,4.5
3,0.0,1.0,4.5,2.0,4.5
3,0.0,1.0,3.5,2.0,3.5
3,0.0,1.0,2.5,2.0,2.5
3,0.0,1.0,1.5,2.0,1.5
3,0.0,1.0,0.5,2.0,0.5
3,0.0,1.0,0.5,2.0,0.5
3,0.0,1.0,1.5,2.0,1.5
3,0.0,1.0,2.5,2.0,2.5
3,0.0,1.0,3.5,2.0,3.5
3,0.0,1.0,4.5,2.0,4.5
3,0.0,1.2000000000000002,4.5,1.7999999999999998,4.5
3,0.0,1.2000000000000002,3.5,1.7999999999999998,3.5
